,sentence,gold
412,शोधनम् तु अतियोगेन विपरीतम् विपर्यये क्षिणुयात् न मलान् एव केवलम् वपुरस्यति (क्षिणुयात्),"{'tokens': ['शोधनम्', 'तु', 'अतियोगेन', 'विपरीतम्', 'विपर्यये', 'क्षिणुयात्', 'न', 'मलान्', 'एव', 'केवलम्', 'वपुरस्यति', '(क्षिणुयात्)'], 'compounds': [{'span': ['1', '13'], 'label': 'No_rel'}, {'span': ['2', '13'], 'label': 'No_rel'}, {'span': ['3', '13'], 'label': 'No_rel'}, {'span': ['4', '13'], 'label': 'No_rel'}, {'span': ['5', '13'], 'label': 'No_rel'}, {'span': ['6', '13'], 'label': 'No_rel'}, {'span': ['7', '13'], 'label': 'No_rel'}, {'span': ['8', '13'], 'label': 'No_rel'}, {'span': ['9', '13'], 'label': 'No_rel'}, {'span': ['10', '13'], 'label': 'No_rel'}, {'span': ['11', '13'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
413,अतः अभियुक्तः सततम् सर्वम् आलोक्य सर्वथा तथा युञ्जीत भैषज्यम् आरोग्याय यथा ध्रुवम् .,"{'tokens': ['अतः', 'अभियुक्तः', 'सततम्', 'सर्वम्', 'आलोक्य', 'सर्वथा', 'तथा', 'युञ्जीत', 'भैषज्यम्', 'आरोग्याय', 'यथा', 'ध्रुवम्', '.'], 'compounds': [{'span': ['1', '14'], 'label': 'No_rel'}, {'span': ['2', '14'], 'label': 'No_rel'}, {'span': ['3', '14'], 'label': 'No_rel'}, {'span': ['4', '14'], 'label': 'No_rel'}, {'span': ['5', '14'], 'label': 'No_rel'}, {'span': ['6', '14'], 'label': 'No_rel'}, {'span': ['7', '14'], 'label': 'No_rel'}, {'span': ['8', '14'], 'label': 'No_rel'}, {'span': ['9', '14'], 'label': 'No_rel'}, {'span': ['10', '14'], 'label': 'No_rel'}, {'span': ['11', '14'], 'label': 'No_rel'}, {'span': ['12', '14'], 'label': 'No_rel'}, {'span': ['13', '14'], 'label': 'No_rel'}, {'span': ['14', '0'], 'label': 'root'}]}"
414,वक्ष्यन्ते अतः परम् दोषाः वृद्धिक्षयआदिभेदतः .,"{'tokens': ['वक्ष्यन्ते', 'अतः', 'परम्', 'दोषाः', 'वृद्धिक्षयआदिभेदतः', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '10'], 'label': 'No_rel'}, {'span': ['3', '10'], 'label': 'No_rel'}, {'span': ['4', '10'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'बहुव्रीहिः'}, {'span': ['7', '8'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['8', '10'], 'label': 'Comp_root'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
415,पृथक् त्रीन् विद्धि .,"{'tokens': ['पृथक्', 'त्रीन्', 'विद्धि', '.'], 'compounds': [{'span': ['1', '5'], 'label': 'No_rel'}, {'span': ['2', '5'], 'label': 'No_rel'}, {'span': ['3', '5'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'No_rel'}, {'span': ['5', '0'], 'label': 'root'}]}"
416,संसर्गः त्रिधा (भवति) तत्र तु तान् नव (विद्धि) .,"{'tokens': ['संसर्गः', 'त्रिधा', '(भवति)', 'तत्र', 'तु', 'तान्', 'नव', '(विद्धि)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '10'], 'label': 'No_rel'}, {'span': ['3', '10'], 'label': 'No_rel'}, {'span': ['4', '10'], 'label': 'No_rel'}, {'span': ['5', '10'], 'label': 'No_rel'}, {'span': ['6', '10'], 'label': 'No_rel'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
417,त्रीन् एव समया वृद्ध्या (विद्धि) षड् एकस्य अतिशयने (विद्धि) .,"{'tokens': ['त्रीन्', 'एव', 'समया', 'वृद्ध्या', '(विद्धि)', 'षड्', 'एकस्य', 'अतिशयने', '(विद्धि)', '.'], 'compounds': [{'span': ['1', '11'], 'label': 'No_rel'}, {'span': ['2', '11'], 'label': 'No_rel'}, {'span': ['3', '11'], 'label': 'No_rel'}, {'span': ['4', '11'], 'label': 'No_rel'}, {'span': ['5', '11'], 'label': 'No_rel'}, {'span': ['6', '11'], 'label': 'No_rel'}, {'span': ['7', '11'], 'label': 'No_rel'}, {'span': ['8', '11'], 'label': 'No_rel'}, {'span': ['9', '11'], 'label': 'No_rel'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
418,त्रयोदश समस्तेषु (विद्धि) .,"{'tokens': ['त्रयोदश', 'समस्तेषु', '(विद्धि)', '.'], 'compounds': [{'span': ['1', '5'], 'label': 'No_rel'}, {'span': ['2', '5'], 'label': 'No_rel'}, {'span': ['3', '5'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'No_rel'}, {'span': ['5', '0'], 'label': 'root'}]}"
419,षड् द्विएकअतिशयेन तु (विद्धि) .,"{'tokens': ['षड्', 'द्विएकअतिशयेन', 'तु', '(विद्धि)', '.'], 'compounds': [{'span': ['1', '8'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '8'], 'label': 'Comp_root'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
420,एकम् तुल्यअधिकैः दोषभेदम् (विद्धि) .,"{'tokens': ['एकम्', 'तुल्यअधिकैः', 'दोषभेदम्', '(विद्धि)', '.'], 'compounds': [{'span': ['1', '8'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '8'], 'label': 'Comp_root'}, {'span': ['4', '5'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['5', '8'], 'label': 'Comp_root'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
421,षट् च तारतम्यविकल्पनात् (विद्धि) .,"{'tokens': ['षट्', 'च', 'तारतम्यविकल्पनात्', '(विद्धि)', '.'], 'compounds': [{'span': ['1', '7'], 'label': 'No_rel'}, {'span': ['2', '7'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '7'], 'label': 'Comp_root'}, {'span': ['5', '7'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'No_rel'}, {'span': ['7', '0'], 'label': 'root'}]}"
422,पञ्चविंशतिम् इति एव वृद्धैः (विद्धि) .,"{'tokens': ['पञ्चविंशतिम्', 'इति', 'एव', 'वृद्धैः', '(विद्धि)', '.'], 'compounds': [{'span': ['1', '7'], 'label': 'No_rel'}, {'span': ['2', '7'], 'label': 'No_rel'}, {'span': ['3', '7'], 'label': 'No_rel'}, {'span': ['4', '7'], 'label': 'No_rel'}, {'span': ['5', '7'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'No_rel'}, {'span': ['7', '0'], 'label': 'root'}]}"
423,क्षीणैः च तावतः (दोषान्) (विद्धि) .,"{'tokens': ['क्षीणैः', 'च', 'तावतः', '(दोषान्)', '(विद्धि)', '.'], 'compounds': [{'span': ['1', '7'], 'label': 'No_rel'}, {'span': ['2', '7'], 'label': 'No_rel'}, {'span': ['3', '7'], 'label': 'No_rel'}, {'span': ['4', '7'], 'label': 'No_rel'}, {'span': ['5', '7'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'No_rel'}, {'span': ['7', '0'], 'label': 'root'}]}"
424,एकएकवृद्धिसमताक्षयैः षट् ते (भवन्ति) .,"{'tokens': ['एकएकवृद्धिसमताक्षयैः', 'षट्', 'ते', '(भवन्ति)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'अव्ययीभावः'}, {'span': ['2', '3'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '5'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['5', '10'], 'label': 'Comp_root'}, {'span': ['6', '10'], 'label': 'No_rel'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
425,पुनः च षट् एकक्षयद्वन्द्ववृद्ध्या सविपर्ययया अपि ते (भवन्ति) .,"{'tokens': ['पुनः', 'च', 'षट्', 'एकक्षयद्वन्द्ववृद्ध्या', 'सविपर्ययया', 'अपि', 'ते', '(भवन्ति)', '.'], 'compounds': [{'span': ['1', '13'], 'label': 'No_rel'}, {'span': ['2', '13'], 'label': 'No_rel'}, {'span': ['3', '13'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['5', '6'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['6', '7'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['7', '13'], 'label': 'Comp_root'}, {'span': ['8', '13'], 'label': 'No_rel'}, {'span': ['9', '13'], 'label': 'No_rel'}, {'span': ['10', '13'], 'label': 'No_rel'}, {'span': ['11', '13'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
426,भेदाः द्विषष्टिः निर्दिष्टाः (सन्ति) .,"{'tokens': ['भेदाः', 'द्विषष्टिः', 'निर्दिष्टाः', '(सन्ति)', '.'], 'compounds': [{'span': ['1', '6'], 'label': 'No_rel'}, {'span': ['2', '6'], 'label': 'No_rel'}, {'span': ['3', '6'], 'label': 'No_rel'}, {'span': ['4', '6'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'No_rel'}, {'span': ['6', '0'], 'label': 'root'}]}"
427,त्रिषष्टः स्वास्थ्यकारणम् (अस्ति) .,"{'tokens': ['त्रिषष्टः', 'स्वास्थ्यकारणम्', '(अस्ति)', '.'], 'compounds': [{'span': ['1', '6'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'षष्ठी-सम्बन्धः'}, {'span': ['3', '6'], 'label': 'Comp_root'}, {'span': ['4', '6'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'No_rel'}, {'span': ['6', '0'], 'label': 'root'}]}"
428,संसर्गात् रसरुधिरआदिभिः तथा एषाम् दोषान् तु क्षयसमताविवृद्धिभेदैः (जानीयात्) .,"{'tokens': ['संसर्गात्', 'रसरुधिरआदिभिः', 'तथा', 'एषाम्', 'दोषान्', 'तु', 'क्षयसमताविवृद्धिभेदैः', '(जानीयात्)', '.'], 'compounds': [{'span': ['1', '15'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'बहुव्रीहिः'}, {'span': ['4', '15'], 'label': 'Comp_root'}, {'span': ['5', '15'], 'label': 'No_rel'}, {'span': ['6', '15'], 'label': 'No_rel'}, {'span': ['7', '15'], 'label': 'No_rel'}, {'span': ['8', '15'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['10', '11'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['11', '12'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['12', '15'], 'label': 'Comp_root'}, {'span': ['13', '15'], 'label': 'No_rel'}, {'span': ['14', '15'], 'label': 'No_rel'}, {'span': ['15', '0'], 'label': 'root'}]}"
429,आनन्त्यन् तरतमयोगतः च यातान् जानीयात् अवहितमानसः यथास्वम् .,"{'tokens': ['आनन्त्यन्', 'तरतमयोगतः', 'च', 'यातान्', 'जानीयात्', 'अवहितमानसः', 'यथास्वम्', '.'], 'compounds': [{'span': ['1', '13'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'Comp_root'}, {'span': ['4', '13'], 'label': 'अपादानम्'}, {'span': ['5', '13'], 'label': 'No_rel'}, {'span': ['6', '13'], 'label': 'No_rel'}, {'span': ['7', '13'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'बहुव्रीहिः'}, {'span': ['9', '13'], 'label': 'Comp_root'}, {'span': ['10', '11'], 'label': 'अव्ययीभावः'}, {'span': ['11', '13'], 'label': 'Comp_root'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
430,अथ अतः दोषउपक्रमणीयम् अध्यायम् व्याख्यास्यामः .,"{'tokens': ['अथ', 'अतः', 'दोषउपक्रमणीयम्', 'अध्यायम्', 'व्याख्यास्यामः', '.'], 'compounds': [{'span': ['1', '8'], 'label': 'No_rel'}, {'span': ['2', '8'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '8'], 'label': 'Comp_root'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
431,इति ह स्म आहुः आत्रेयआदयः महाऋषयः .,"{'tokens': ['इति', 'ह', 'स्म', 'आहुः', 'आत्रेयआदयः', 'महाऋषयः', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '10'], 'label': 'No_rel'}, {'span': ['3', '10'], 'label': 'No_rel'}, {'span': ['4', '10'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'बहुव्रीहिः'}, {'span': ['6', '10'], 'label': 'Comp_root'}, {'span': ['7', '8'], 'label': 'कर्मधारयः'}, {'span': ['8', '10'], 'label': 'Comp_root'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
432,वातस्य उपक्रमः स्नेहः स्वेदः संशोधनम् मृदु स्वादुअम्ललवणउष्णानि भोज्यानि अभ्यङ्गमर्दनम् वेष्टनम् त्रासनम् सेकः मद्यम् पैष्टिकगौडिकम् स्निग्धउष्णाः बस्तयः बस्तिनियमः सुखशीलता दीपनैः पाचनैः सिद्धाः स्नेहाः च अनेकयोनयः (भवति) .,"{'tokens': ['वातस्य', 'उपक्रमः', 'स्नेहः', 'स्वेदः', 'संशोधनम्', 'मृदु', 'स्वादुअम्ललवणउष्णानि', 'भोज्यानि', 'अभ्यङ्गमर्दनम्', 'वेष्टनम्', 'त्रासनम्', 'सेकः', 'मद्यम्', 'पैष्टिकगौडिकम्', 'स्निग्धउष्णाः', 'बस्तयः', 'बस्तिनियमः', 'सुखशीलता', 'दीपनैः', 'पाचनैः', 'सिद्धाः', 'स्नेहाः', 'च', 'अनेकयोनयः', '(भवति)', '.'], 'compounds': [{'span': ['1', '36'], 'label': 'No_rel'}, {'span': ['2', '36'], 'label': 'No_rel'}, {'span': ['3', '36'], 'label': 'No_rel'}, {'span': ['4', '36'], 'label': 'No_rel'}, {'span': ['5', '36'], 'label': 'No_rel'}, {'span': ['6', '36'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['8', '9'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['9', '10'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['10', '36'], 'label': 'Comp_root'}, {'span': ['11', '36'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'समाहार-द्वन्द्वः'}, {'span': ['13', '36'], 'label': 'Comp_root'}, {'span': ['14', '36'], 'label': 'No_rel'}, {'span': ['15', '36'], 'label': 'No_rel'}, {'span': ['16', '36'], 'label': 'No_rel'}, {'span': ['17', '36'], 'label': 'No_rel'}, {'span': ['18', '19'], 'label': 'समाहार-द्वन्द्वः'}, {'span': ['19', '36'], 'label': 'Comp_root'}, {'span': ['20', '21'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['21', '36'], 'label': 'Comp_root'}, {'span': ['22', '36'], 'label': 'No_rel'}, {'span': ['23', '24'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['24', '36'], 'label': 'Comp_root'}, {'span': ['25', '26'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['26', '36'], 'label': 'Comp_root'}, {'span': ['27', '36'], 'label': 'No_rel'}, {'span': ['28', '36'], 'label': 'No_rel'}, {'span': ['29', '36'], 'label': 'No_rel'}, {'span': ['30', '36'], 'label': 'No_rel'}, {'span': ['31', '36'], 'label': 'No_rel'}, {'span': ['32', '33'], 'label': 'षष्ठ्यर्थ-बहुव्रीहिः'}, {'span': ['33', '36'], 'label': 'Comp_root'}, {'span': ['34', '36'], 'label': 'No_rel'}, {'span': ['35', '36'], 'label': 'No_rel'}, {'span': ['36', '0'], 'label': 'root'}]}"
433,विशेषात् मेद्यपिशितरसतैलअनुवासनम् (वातस्य) (उपक्रमः) (भवति) .,"{'tokens': ['विशेषात्', 'मेद्यपिशितरसतैलअनुवासनम्', '(वातस्य)', '(उपक्रमः)', '(भवति)', '.'], 'compounds': [{'span': ['1', '11'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'कर्मधारयः'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '11'], 'label': 'Comp_root'}, {'span': ['7', '11'], 'label': 'No_rel'}, {'span': ['8', '11'], 'label': 'No_rel'}, {'span': ['9', '11'], 'label': 'No_rel'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
434,पित्तस्य सर्पिषः पानम् स्वादुशीतैः विरेचनम् स्वादुतिक्तकषायाणि भोजनानि औषधानि च सुगन्धिशीतहृद्यानाम् गन्धानाम् उपसेवनम् कण्ठेगुणानाम् (च) हाराणाम् मणीनाम् उरसा धृतिः कर्पूरचन्दनउशीरैः अनुलेपः क्षणे क्षणे प्रदोषः चन्द्रमाः सौधम् हारि गीतम् हिमः अनिलः अयन्त्रणसुखम् मित्रम् पुत्रः सन्दिग्धमुग्धवाक् छन्दअनुवर्तिनः दाराः प्रियाः शीलविभूषिताः शीतअम्बुधारागर्भाणि गृहाणि उद्यानदीर्घिकाः सुतीर्थविपुलस्वच्छसलिलआशयसैकते सअम्भोजजलतीरअन्ते कायमाने द्रुमआकुले सौम्याः भावाः (उपक्रमः) (भवति) (च) (निवासः) .,"{'tokens': ['पित्तस्य', 'सर्पिषः', 'पानम्', 'स्वादुशीतैः', 'विरेचनम्', 'स्वादुतिक्तकषायाणि', 'भोजनानि', 'औषधानि', 'च', 'सुगन्धिशीतहृद्यानाम्', 'गन्धानाम्', 'उपसेवनम्', 'कण्ठेगुणानाम्', '(च)', 'हाराणाम्', 'मणीनाम्', 'उरसा', 'धृतिः', 'कर्पूरचन्दनउशीरैः', 'अनुलेपः', 'क्षणे', 'क्षणे', 'प्रदोषः', 'चन्द्रमाः', 'सौधम्', 'हारि', 'गीतम्', 'हिमः', 'अनिलः', 'अयन्त्रणसुखम्', 'मित्रम्', 'पुत्रः', 'सन्दिग्धमुग्धवाक्', 'छन्दअनुवर्तिनः', 'दाराः', 'प्रियाः', 'शीलविभूषिताः', 'शीतअम्बुधारागर्भाणि', 'गृहाणि', 'उद्यानदीर्घिकाः', 'सुतीर्थविपुलस्वच्छसलिलआशयसैकते', 'सअम्भोजजलतीरअन्ते', 'कायमाने', 'द्रुमआकुले', 'सौम्याः', 'भावाः', '(उपक्रमः)', '(भवति)', '(च)', '(निवासः)', '.'], 'compounds': [{'span': ['1', '81'], 'label': 'No_rel'}, {'span': ['2', '81'], 'label': 'No_rel'}, {'span': ['3', '81'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '81'], 'label': 'Comp_root'}, {'span': ['6', '81'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['8', '9'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['9', '81'], 'label': 'Comp_root'}, {'span': ['10', '81'], 'label': 'No_rel'}, {'span': ['11', '81'], 'label': 'No_rel'}, {'span': ['12', '81'], 'label': 'No_rel'}, {'span': ['13', '14'], 'label': 'प्रादि-तत्पुरुषः'}, {'span': ['14', '15'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['15', '16'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['16', '81'], 'label': 'Comp_root'}, {'span': ['17', '81'], 'label': 'No_rel'}, {'span': ['18', '81'], 'label': 'No_rel'}, {'span': ['19', '81'], 'label': 'No_rel'}, {'span': ['20', '81'], 'label': 'No_rel'}, {'span': ['21', '81'], 'label': 'No_rel'}, {'span': ['22', '81'], 'label': 'No_rel'}, {'span': ['23', '81'], 'label': 'No_rel'}, {'span': ['24', '81'], 'label': 'No_rel'}, {'span': ['25', '26'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['26', '27'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['27', '81'], 'label': 'Comp_root'}, {'span': ['28', '81'], 'label': 'No_rel'}, {'span': ['29', '81'], 'label': 'No_rel'}, {'span': ['30', '81'], 'label': 'No_rel'}, {'span': ['31', '81'], 'label': 'No_rel'}, {'span': ['32', '81'], 'label': 'No_rel'}, {'span': ['33', '81'], 'label': 'No_rel'}, {'span': ['34', '81'], 'label': 'No_rel'}, {'span': ['35', '81'], 'label': 'No_rel'}, {'span': ['36', '81'], 'label': 'No_rel'}, {'span': ['37', '81'], 'label': 'No_rel'}, {'span': ['38', '39'], 'label': 'अस्त्यर्थ-मध्यमपदलोपी(नञ्)-बहुव्रीहिः'}, {'span': ['39', '40'], 'label': 'कर्मधारयः'}, {'span': ['40', '81'], 'label': 'Comp_root'}, {'span': ['41', '81'], 'label': 'No_rel'}, {'span': ['42', '81'], 'label': 'No_rel'}, {'span': ['43', '44'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['44', '45'], 'label': 'षष्ठ्यर्थ-बहुव्रीहिः'}, {'span': ['45', '81'], 'label': 'Comp_root'}, {'span': ['46', '47'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['47', '81'], 'label': 'Comp_root'}, {'span': ['48', '81'], 'label': 'No_rel'}, {'span': ['49', '81'], 'label': 'No_rel'}, {'span': ['50', '51'], 'label': 'तृतीया-तत्पुरुषः'}, {'span': ['51', '81'], 'label': 'Comp_root'}, {'span': ['52', '53'], 'label': 'कर्मधारयः'}, {'span': ['53', '54'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['54', '55'], 'label': 'सप्तम्यर्थ-बहुव्रीहिः'}, {'span': ['55', '81'], 'label': 'Comp_root'}, {'span': ['56', '81'], 'label': 'No_rel'}, {'span': ['57', '58'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['58', '81'], 'label': 'Comp_root'}, {'span': ['59', '60'], 'label': 'प्रादि-तत्पुरुषः'}, {'span': ['60', '61'], 'label': 'कर्मधारयः'}, {'span': ['61', '62'], 'label': 'कर्मधारयः'}, {'span': ['62', '63'], 'label': 'कर्मधारयः'}, {'span': ['63', '64'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['64', '65'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['65', '81'], 'label': 'Comp_root'}, {'span': ['66', '67'], 'label': 'अव्ययीभावः'}, {'span': ['67', '68'], 'label': 'कर्मधारयः'}, {'span': ['68', '69'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['69', '70'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['70', '81'], 'label': 'Comp_root'}, {'span': ['71', '81'], 'label': 'No_rel'}, {'span': ['72', '73'], 'label': 'तृतीया-तत्पुरुषः'}, {'span': ['73', '81'], 'label': 'Comp_root'}, {'span': ['74', '81'], 'label': 'No_rel'}, {'span': ['75', '81'], 'label': 'No_rel'}, {'span': ['76', '81'], 'label': 'No_rel'}, {'span': ['77', '81'], 'label': 'No_rel'}, {'span': ['78', '81'], 'label': 'No_rel'}, {'span': ['79', '81'], 'label': 'No_rel'}, {'span': ['80', '81'], 'label': 'No_rel'}, {'span': ['81', '0'], 'label': 'root'}]}"
435,पयः सर्पिः विरेकः च विशेषतः (पित्तस्य) (उपक्रमः) (भवति) .,"{'tokens': ['पयः', 'सर्पिः', 'विरेकः', 'च', 'विशेषतः', '(पित्तस्य)', '(उपक्रमः)', '(भवति)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '10'], 'label': 'No_rel'}, {'span': ['3', '10'], 'label': 'No_rel'}, {'span': ['4', '10'], 'label': 'No_rel'}, {'span': ['5', '10'], 'label': 'No_rel'}, {'span': ['6', '10'], 'label': 'No_rel'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
