sentence,gold
आगन्तुम् शमयेत् दोषम् स्थानिनम् प्रतिकृत्य वा (दोषम्) स्थानिनम् शमयेत् दोषम् आगन्तुम् प्रतिकृत्य (दोषम्) .,"{""tokens"": [""आगन्तुम्"", ""शमयेत्"", ""दोषम्"", ""स्थानिनम्"", ""प्रतिकृत्य"", ""वा"", ""(दोषम्)"", ""स्थानिनम्"", ""शमयेत्"", ""दोषम्"", ""आगन्तुम्"", ""प्रतिकृत्य"", ""(दोषम्)"", "".""], ""compounds"": ""1\tआगन्तुम्\tआगन्तुम्\t15\tCompNo\t_\tNo_rel\n2\tशमयेत्\tशमयेत्\t15\tCompNo\t_\tNo_rel\n3\tदोषम्\tदोषम्\t15\tCompNo\t_\tNo_rel\n4\tस्थानिनम्\tस्थानिनम्\t15\tCompNo\t_\tNo_rel\n5\tप्रतिकृत्य\tप्रतिकृत्य\t15\tCompNo\t_\tNo_rel\n6\tवा\tवा\t15\tCompNo\t_\tNo_rel\n7\t(दोषम्)\tदोषम्\t15\tCompNo\t_\tNo_rel\n8\tस्थानिनम्\tस्थानिनम्\t15\tCompNo\t_\tNo_rel\n9\tशमयेत्\tशमयेत्\t15\tCompNo\t_\tNo_rel\n10\tदोषम्\tदोषम्\t15\tCompNo\t_\tNo_rel\n11\tआगन्तुम्\tआगन्तुम्\t15\tCompNo\t_\tNo_rel\n12\tप्रतिकृत्य\tप्रतिकृत्य\t15\tCompNo\t_\tNo_rel\n13\t(दोषम्)\tदोषम्\t15\tCompNo\t_\tNo_rel\n14\t.\t.\t15\tCompNo\t_\tNo_rel\n15\tDUMMY\t_\t0\tCompNo\t_\troot""}"
प्रायः तिर्यक्गताः दोषाः क्लेशयन्ति आतुरान् चिरम् .,"{""tokens"": [""प्रायः"", ""तिर्यक्"", ""गताः"", ""दोषाः"", ""क्लेशयन्ति"", ""आतुरान्"", ""चिरम्"", "".""], ""compounds"": ""1\tप्रायः\tप्रायः\t9\tCompNo\t_\tNo_rel\n2\tतिर्यक्-\tतिर्यक्-गताः\t3\tComp2\t_\tतृतीयार्थ-बहुव्रीहिः\n3\tगताः\t--\t9\tComp2\t_\tComp_root\n4\tदोषाः\tदोषाः\t9\tCompNo\t_\tNo_rel\n5\tक्लेशयन्ति\tक्लेशयन्ति\t9\tCompNo\t_\tNo_rel\n6\tआतुरान्\tआतुरान्\t9\tCompNo\t_\tNo_rel\n7\tचिरम्\tचिरम्\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
कुर्यात् न तेषु त्वरया देहअग्निबलवित् क्रियाम् .,"{""tokens"": [""कुर्यात्"", ""न"", ""तेषु"", ""त्वरया"", ""देह"", ""अग्नि"", ""बल"", ""वित्"", ""क्रियाम्"", "".""], ""compounds"": ""1\tकुर्यात्\tकुर्यात्\t11\tCompNo\t_\tNo_rel\n2\tन\tन\t11\tCompNo\t_\tNo_rel\n3\tतेषु\tतेषु\t11\tCompNo\t_\tNo_rel\n4\tत्वरया\tत्वरया\t11\tCompNo\t_\tNo_rel\n5\tदेह-\tदेह-अग्नि-बल-वित्\t6\tComp4\t_\tइतरेतर-द्वन्द्वः\n6\tअग्नि-\t--\t7\tComp4\t_\tषष्ठी-तत्पुरुषः\n7\tबल-\t--\t8\tComp4\t_\tउपपद-तत्पुरुषः\n8\tवित्\t--\t11\tComp4\t_\tComp_root\n9\tक्रियाम्\tक्रियाम्\t11\tCompNo\t_\tNo_rel\n10\t.\t.\t11\tCompNo\t_\tNo_rel\n11\tDUMMY\t_\t0\tCompNo\t_\troot""}"
शमयेत् तान् प्रयोगेण सुखम् वा कोष्ठम् आनयेत् .,"{""tokens"": [""शमयेत्"", ""तान्"", ""प्रयोगेण"", ""सुखम्"", ""वा"", ""कोष्ठम्"", ""आनयेत्"", "".""], ""compounds"": ""1\tशमयेत्\tशमयेत्\t9\tCompNo\t_\tNo_rel\n2\tतान्\tतान्\t9\tCompNo\t_\tNo_rel\n3\tप्रयोगेण\tप्रयोगेण\t9\tCompNo\t_\tNo_rel\n4\tसुखम्\tसुखम्\t9\tCompNo\t_\tNo_rel\n5\tवा\tवा\t9\tCompNo\t_\tNo_rel\n6\tकोष्ठम्\tकोष्ठम्\t9\tCompNo\t_\tNo_rel\n7\tआनयेत्\tआनयेत्\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
ज्ञात्वा कोष्ठप्रपन्नान् च यथाआसन्नम् विनिर्हरेत् .,"{""tokens"": [""ज्ञात्वा"", ""कोष्ठ"", ""प्रपन्नान्"", ""च"", ""यथा"", ""आसन्नम्"", ""विनिर्हरेत्"", "".""], ""compounds"": ""1\tज्ञात्वा\tज्ञात्वा\t9\tCompNo\t_\tNo_rel\n2\tकोष्ठ-\tकोष्ठ-प्रपन्नान्\t3\tComp2\t_\tद्वितीया-तत्पुरुषः\n3\tप्रपन्नान्\t--\t9\tComp2\t_\tComp_root\n4\tच\tच\t9\tCompNo\t_\tNo_rel\n5\tयथा-\tयथा-आसन्नम्\t6\tComp2\t_\tअव्ययीभावः\n6\tआसन्नम्\t--\t9\tComp2\t_\tComp_root\n7\tविनिर्हरेत्\tविनिर्हरेत्\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
स्रोतःरोधबलभ्रंशगौरवअनिलमूढताः आलस्यअपक्तिनिष्ठीवमलसङ्गअरुचिक्लमाः लिङ्गम् (भवति) मलानाम् सामानाम् निर्आमाणाम् विपर्ययः (लिङ्गम्) (भवति) (च) .,"{""tokens"": [""स्रोतः"", ""रोध"", ""बल"", ""भ्रंश"", ""गौरव"", ""अनिल"", ""मूढताः"", ""आलस्य"", ""अपक्ति"", ""निष्ठीव"", ""मल"", ""सङ्ग"", ""अ"", ""रुचि"", ""क्लमाः"", ""लिङ्गम्"", ""(भवति)"", ""मलानाम्"", ""सामानाम्"", ""निर्"", ""आमाणाम्"", ""विपर्ययः"", ""(लिङ्गम्)"", ""(भवति)"", ""(च)"", "".""], ""compounds"": ""1\tस्रोतः-\tस्रोतः-रोध-बल-भ्रंश-गौरव-अनिल-मूढताः\t2\tComp7\t_\tषष्ठी-तत्पुरुषः\n2\tरोध-\t--\t3\tComp7\t_\tइतरेतर-द्वन्द्वः\n3\tबल-\t--\t4\tComp7\t_\tषष्ठी-तत्पुरुषः\n4\tभ्रंश-\t--\t5\tComp7\t_\tइतरेतर-द्वन्द्वः\n5\tगौरव-\t--\t6\tComp7\t_\tइतरेतर-द्वन्द्वः\n6\tअनिल-\t--\t7\tComp7\t_\tषष्ठी-तत्पुरुषः\n7\tमूढताः\t--\t27\tComp7\t_\tComp_root\n8\tआलस्य-\tआलस्य-अपक्ति-निष्ठीव-मल-सङ्ग-अ-रुचि-क्लमाः\t9\tComp8\t_\tइतरेतर-द्वन्द्वः\n9\tअपक्ति-\t--\t10\tComp8\t_\tइतरेतर-द्वन्द्वः\n10\tनिष्ठीव-\t--\t11\tComp8\t_\tइतरेतर-द्वन्द्वः\n11\tमल-\t--\t12\tComp8\t_\tषष्ठी-तत्पुरुषः\n12\tसङ्ग-\t--\t13\tComp8\t_\tइतरेतर-द्वन्द्वः\n13\tअ-\t--\t14\tComp8\t_\tनञ्-तत्पुरुषः\n14\tरुचि-\t--\t15\tComp8\t_\tइतरेतर-द्वन्द्वः\n15\tक्लमाः\t--\t27\tComp8\t_\tComp_root\n16\tलिङ्गम्\tलिङ्गम्\t27\tCompNo\t_\tNo_rel\n17\t(भवति)\tभवति\t27\tCompNo\t_\tNo_rel\n18\tमलानाम्\tमलानाम्\t27\tCompNo\t_\tNo_rel\n19\tसामानाम्\tसामानाम्\t27\tCompNo\t_\tNo_rel\n20\tनिर्-\tनिर्-आमाणाम्\t21\tComp2\t_\tप्रादि-तत्पुरुषः\n21\tआमाणाम्\t--\t27\tComp2\t_\tComp_root\n22\tविपर्ययः\tविपर्ययः\t27\tCompNo\t_\tNo_rel\n23\t(लिङ्गम्)\tलिङ्गम्\t27\tCompNo\t_\tNo_rel\n24\t(भवति)\tभवति\t27\tCompNo\t_\tNo_rel\n25\t(च)\tच\t27\tCompNo\t_\tNo_rel\n26\t.\t.\t27\tCompNo\t_\tNo_rel\n27\tDUMMY\t_\t0\tCompNo\t_\troot""}"
ऊष्मणः अल्पबलत्वेन धातुम् आद्यम् अपाचितम् दुष्टम् आमाशयगतम् रसम् (च) आमम् प्रचक्षते .,"{""tokens"": [""ऊष्मणः"", ""अल्प"", ""बलत्वेन"", ""धातुम्"", ""आद्यम्"", ""अ"", ""पाचितम्"", ""दुष्टम्"", ""आमाशय"", ""गतम्"", ""रसम्"", ""(च)"", ""आमम्"", ""प्रचक्षते"", "".""], ""compounds"": ""1\tऊष्मणः\tऊष्मणः\t16\tCompNo\t_\tNo_rel\n2\tअल्प-\tअल्प-बलत्वेन\t3\tComp2\t_\tकर्मधारयः\n3\tबलत्वेन\t--\t16\tComp2\t_\tComp_root\n4\tधातुम्\tधातुम्\t16\tCompNo\t_\tNo_rel\n5\tआद्यम्\tआद्यम्\t16\tCompNo\t_\tNo_rel\n6\tअ-\tअ-पाचितम्\t7\tComp2\t_\tनञ्-तत्पुरुषः\n7\tपाचितम्\t--\t16\tComp2\t_\tComp_root\n8\tदुष्टम्\tदुष्टम्\t16\tCompNo\t_\tNo_rel\n9\tआमाशय-\tआमाशय-गतम्\t10\tComp2\t_\tतृतीयार्थ-बहुव्रीहिः\n10\tगतम्\t--\t16\tComp2\t_\tComp_root\n11\tरसम्\tरसम्\t16\tCompNo\t_\tNo_rel\n12\t(च)\tच\t16\tCompNo\t_\tNo_rel\n13\tआमम्\tआमम्\t16\tCompNo\t_\tNo_rel\n14\tप्रचक्षते\tप्रचक्षते\t16\tCompNo\t_\tNo_rel\n15\t.\t.\t16\tCompNo\t_\tNo_rel\n16\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अन्ये दोषेभ्यः एव अतिदुष्टेभ्यः अन्यःअन्यमूर्छनात् कोद्रवेभ्यः विषस्य इव वदन्ति आमस्य सम्भवम् .,"{""tokens"": [""अन्ये"", ""दोषेभ्यः"", ""एव"", ""अति"", ""दुष्टेभ्यः"", ""अन्यः"", ""अन्य"", ""मूर्छनात्"", ""कोद्रवेभ्यः"", ""विषस्य"", ""इव"", ""वदन्ति"", ""आमस्य"", ""सम्भवम्"", "".""], ""compounds"": ""1\tअन्ये\tअन्ये\t16\tCompNo\t_\tNo_rel\n2\tदोषेभ्यः\tदोषेभ्यः\t16\tCompNo\t_\tNo_rel\n3\tएव\tएव\t16\tCompNo\t_\tNo_rel\n4\tअति-\tअति-दुष्टेभ्यः\t5\tComp2\t_\tप्रादि-तत्पुरुषः\n5\tदुष्टेभ्यः\t--\t16\tComp2\t_\tComp_root\n6\tअन्यः-\tअन्यः-अन्य-मूर्छनात्\t7\tComp3\t_\tसमाहार-द्वन्द्वः\n7\tअन्य-\t--\t8\tComp3\t_\tतृतीया-तत्पुरुषः\n8\tमूर्छनात्\t--\t16\tComp3\t_\tComp_root\n9\tकोद्रवेभ्यः\tकोद्रवेभ्यः\t16\tCompNo\t_\tNo_rel\n10\tविषस्य\tविषस्य\t16\tCompNo\t_\tNo_rel\n11\tइव\tइव\t16\tCompNo\t_\tNo_rel\n12\tवदन्ति\tवदन्ति\t16\tCompNo\t_\tNo_rel\n13\tआमस्य\tआमस्य\t16\tCompNo\t_\tNo_rel\n14\tसम्भवम्\tसम्भवम्\t16\tCompNo\t_\tNo_rel\n15\t.\t.\t16\tCompNo\t_\tNo_rel\n16\tDUMMY\t_\t0\tCompNo\t_\troot""}"
आमेन तेन संपृक्ताः दोषाः दूष्याः च दूषिताः सामाः इति उपदिश्यन्ते ये च रोगाः तत्उद्भवाः .,"{""tokens"": [""आमेन"", ""तेन"", ""संपृक्ताः"", ""दोषाः"", ""दूष्याः"", ""च"", ""दूषिताः"", ""सामाः"", ""इति"", ""उपदिश्यन्ते"", ""ये"", ""च"", ""रोगाः"", ""तत्"", ""उद्भवाः"", "".""], ""compounds"": ""1\tआमेन\tआमेन\t17\tCompNo\t_\tNo_rel\n2\tतेन\tतेन\t17\tCompNo\t_\tNo_rel\n3\tसंपृक्ताः\tसंपृक्ताः\t17\tCompNo\t_\tNo_rel\n4\tदोषाः\tदोषाः\t17\tCompNo\t_\tNo_rel\n5\tदूष्याः\tदूष्याः\t17\tCompNo\t_\tNo_rel\n6\tच\tच\t17\tCompNo\t_\tNo_rel\n7\tदूषिताः\tदूषिताः\t17\tCompNo\t_\tNo_rel\n8\tसामाः\tसामाः\t17\tCompNo\t_\tNo_rel\n9\tइति\tइति\t17\tCompNo\t_\tNo_rel\n10\tउपदिश्यन्ते\tउपदिश्यन्ते\t17\tCompNo\t_\tNo_rel\n11\tये\tये\t17\tCompNo\t_\tNo_rel\n12\tच\tच\t17\tCompNo\t_\tNo_rel\n13\tरोगाः\tरोगाः\t17\tCompNo\t_\tNo_rel\n14\tतत्-\tतत्-उद्भवाः\t15\tComp2\t_\tतृतीया-तत्पुरुषः\n15\tउद्भवाः\t--\t17\tComp2\t_\tComp_root\n16\t.\t.\t17\tCompNo\t_\tNo_rel\n17\tDUMMY\t_\t0\tCompNo\t_\troot""}"
सर्वदेहप्रविसृतान् सआमान् दोषान् न निर्हरेत् लीनान् धातुषु अन्उत्क्लिष्टान् फलात् आमात् रसान् इव आश्रयस्य हि नाशाय ते स्युः दुर्निर्हरत्वतः .,"{""tokens"": [""सर्व"", ""देह"", ""प्र"", ""विसृतान्"", ""स"", ""आमान्"", ""दोषान्"", ""न"", ""निर्हरेत्"", ""लीनान्"", ""धातुषु"", ""अन्"", ""उत्क्लिष्टान्"", ""फलात्"", ""आमात्"", ""रसान्"", ""इव"", ""आश्रयस्य"", ""हि"", ""नाशाय"", ""ते"", ""स्युः"", ""दुर्"", ""निर्"", ""हरत्वतः"", "".""], ""compounds"": ""1\tसर्व-\tसर्व-देह-प्र-विसृतान्\t2\tComp4\t_\tकर्मधारयः\n2\tदेह-\t--\t3\tComp4\t_\tसप्तमी-तत्पुरुषः\n3\tप्र-\t--\t4\tComp4\t_\tप्रादि-तत्पुरुषः\n4\tविसृतान्\t--\t27\tComp4\t_\tComp_root\n5\tस-\tस-आमान्\t6\tComp2\t_\tअस्त्यर्थ-मध्यमपदलोपी(नञ्)-बहुव्रीहिः\n6\tआमान्\t--\t27\tComp2\t_\tComp_root\n7\tदोषान्\tदोषान्\t27\tCompNo\t_\tNo_rel\n8\tन\tन\t27\tCompNo\t_\tNo_rel\n9\tनिर्हरेत्\tनिर्हरेत्\t27\tCompNo\t_\tNo_rel\n10\tलीनान्\tलीनान्\t27\tCompNo\t_\tNo_rel\n11\tधातुषु\tधातुषु\t27\tCompNo\t_\tNo_rel\n12\tअन्-\tअन्-उत्क्लिष्टान्\t13\tComp2\t_\tनञ्-तत्पुरुषः\n13\tउत्क्लिष्टान्\t--\t27\tComp2\t_\tComp_root\n14\tफलात्\tफलात्\t27\tCompNo\t_\tNo_rel\n15\tआमात्\tआमात्\t27\tCompNo\t_\tNo_rel\n16\tरसान्\tरसान्\t27\tCompNo\t_\tNo_rel\n17\tइव\tइव\t27\tCompNo\t_\tNo_rel\n18\tआश्रयस्य\tआश्रयस्य\t27\tCompNo\t_\tNo_rel\n19\tहि\tहि\t27\tCompNo\t_\tNo_rel\n20\tनाशाय\tनाशाय\t27\tCompNo\t_\tNo_rel\n21\tते\tते\t27\tCompNo\t_\tNo_rel\n22\tस्युः\tस्युः\t27\tCompNo\t_\tNo_rel\n23\tदुर्-\tदुर्-निर्-हरत्वतः\t24\tComp3\t_\tगतिसमासः\n24\tनिर्-\t--\t25\tComp3\t_\tप्रादि-तत्पुरुषः\n25\tहरत्वतः\t--\t27\tComp3\t_\tComp_root\n26\t.\t.\t27\tCompNo\t_\tNo_rel\n27\tDUMMY\t_\t0\tCompNo\t_\troot""}"
पाचनैः दीपनैः स्नेहैः तान् स्वेदैः च परिष्कृतान् शोधयेत् शोधनैः काले यथाआसन्नम् यथाबलम् .,"{""tokens"": [""पाचनैः"", ""दीपनैः"", ""स्नेहैः"", ""तान्"", ""स्वेदैः"", ""च"", ""परिष्कृतान्"", ""शोधयेत्"", ""शोधनैः"", ""काले"", ""यथा"", ""आसन्नम्"", ""यथा"", ""बलम्"", "".""], ""compounds"": ""1\tपाचनैः\tपाचनैः\t16\tCompNo\t_\tNo_rel\n2\tदीपनैः\tदीपनैः\t16\tCompNo\t_\tNo_rel\n3\tस्नेहैः\tस्नेहैः\t16\tCompNo\t_\tNo_rel\n4\tतान्\tतान्\t16\tCompNo\t_\tNo_rel\n5\tस्वेदैः\tस्वेदैः\t16\tCompNo\t_\tNo_rel\n6\tच\tच\t16\tCompNo\t_\tNo_rel\n7\tपरिष्कृतान्\tपरिष्कृतान्\t16\tCompNo\t_\tNo_rel\n8\tशोधयेत्\tशोधयेत्\t16\tCompNo\t_\tNo_rel\n9\tशोधनैः\tशोधनैः\t16\tCompNo\t_\tNo_rel\n10\tकाले\tकाले\t16\tCompNo\t_\tNo_rel\n11\tयथा-\tयथा-आसन्नं\t12\tComp2\t_\tअव्ययीभावः\n12\tआसन्नम्\t--\t16\tComp2\t_\tComp_root\n13\tयथा-\tयथा-बलम्\t14\tComp2\t_\tअव्ययीभावः\n14\tबलम्\t--\t16\tComp2\t_\tComp_root\n15\t.\t.\t16\tCompNo\t_\tNo_rel\n16\tDUMMY\t_\t0\tCompNo\t_\troot""}"
हन्ति आशु युक्तम् वक्त्रेण द्रव्यम् आमाशयात् मलान् घ्राणेन च ऊर्ध्वजत्रुउत्थान् (मलान्) (आशु) (हन्ति) पक्वआधानात् गुदेन च (हन्ति) .,"{""tokens"": [""हन्ति"", ""आशु"", ""युक्तम्"", ""वक्त्रेण"", ""द्रव्यम्"", ""आमाशयात्"", ""मलान्"", ""घ्राणेन"", ""च"", ""ऊर्ध्व"", ""जत्रु"", ""उत्थान्"", ""(मलान्)"", ""(आशु)"", ""(हन्ति)"", ""पक्व"", ""आधानात्"", ""गुदेन"", ""च"", ""(हन्ति)"", "".""], ""compounds"": ""1\tहन्ति\tहन्ति\t22\tCompNo\t_\tNo_rel\n2\tआशु\tआशु\t22\tCompNo\t_\tNo_rel\n3\tयुक्तम्\tयुक्तम्\t22\tCompNo\t_\tNo_rel\n4\tवक्त्रेण\tवक्त्रेण\t22\tCompNo\t_\tNo_rel\n5\tद्रव्यम्\tद्रव्यम्\t22\tCompNo\t_\tNo_rel\n6\tआमाशयात्\tआमाशयान्\t22\tCompNo\t_\tNo_rel\n7\tमलान्\tमलान्\t22\tCompNo\t_\tNo_rel\n8\tघ्राणेन\tघ्राणेन\t22\tCompNo\t_\tNo_rel\n9\tच\tच\t22\tCompNo\t_\tNo_rel\n10\tऊर्ध्व-\tऊर्ध्व-जत्रु-उत्थान्\t11\tComp3\t_\tउपपद-तत्पुरुषः\n11\tजत्रु-\t--\t12\tComp3\t_\tकेवलसमासः\n12\tउत्थान्\t--\t22\tComp3\t_\tComp_root\n13\t(मलान्)\tमलान्\t22\tCompNo\t_\tNo_rel\n14\t(आशु)\tआशु\t22\tCompNo\t_\tNo_rel\n15\t(हन्ति)\tहन्ति\t22\tCompNo\t_\tNo_rel\n16\tपक्व-\tपक्व-आधानात्\t17\tComp2\t_\tषष्ठी-तत्पुरुषः\n17\tआधानात्\t--\t22\tComp2\t_\tComp_root\n18\tगुदेन\tगुदेन\t22\tCompNo\t_\tNo_rel\n19\tच\tच\t22\tCompNo\t_\tNo_rel\n20\t(हन्ति)\tहन्ति\t22\tCompNo\t_\tNo_rel\n21\t.\t.\t22\tCompNo\t_\tNo_rel\n22\tDUMMY\t_\t0\tCompNo\t_\troot""}"
उत्क्लिष्टान् अधः ऊर्ध्वम् वा न च आमान् वहतः स्वयम् धारयेत् औषधैः दोषान् विधृताः ते हि रोगदाः भवन्ति .,"{""tokens"": [""उत्क्लिष्टान्"", ""अधः"", ""ऊर्ध्वम्"", ""वा"", ""न"", ""च"", ""आमान्"", ""वहतः"", ""स्वयम्"", ""धारयेत्"", ""औषधैः"", ""दोषान्"", ""विधृताः"", ""ते"", ""हि"", ""रोग"", ""दाः"", ""भवन्ति"", "".""], ""compounds"": ""1\tउत्क्लिष्टान्\tउत्क्लिष्टान्\t20\tCompNo\t_\tNo_rel\n2\tअधः\tअधः\t20\tCompNo\t_\tNo_rel\n3\tऊर्ध्वम्\tऊर्ध्वम्\t20\tCompNo\t_\tNo_rel\n4\tवा\tवा\t20\tCompNo\t_\tNo_rel\n5\tन\tन\t20\tCompNo\t_\tNo_rel\n6\tच\tच\t20\tCompNo\t_\tNo_rel\n7\tआमान्\tआमान्\t20\tCompNo\t_\tNo_rel\n8\tवहतः\tवहतः\t20\tCompNo\t_\tNo_rel\n9\tस्वयम्\tस्वयम्\t20\tCompNo\t_\tNo_rel\n10\tधारयेत्\tधारयेत्\t20\tCompNo\t_\tNo_rel\n11\tऔषधैः\tऔषधैः\t20\tCompNo\t_\tNo_rel\n12\tदोषान्\tदोषान्\t20\tCompNo\t_\tNo_rel\n13\tविधृताः\tविधृताः\t20\tCompNo\t_\tNo_rel\n14\tते\tते\t20\tCompNo\t_\tNo_rel\n15\tहि\tहि\t20\tCompNo\t_\tNo_rel\n16\tरोग-\tरोग-दाः\t17\tComp2\t_\tउपपद-तत्पुरुषः\n17\tदाः\t--\t20\tComp2\t_\tComp_root\n18\tभवन्ति\tभवन्ति\t20\tCompNo\t_\tNo_rel\n19\t.\t.\t20\tCompNo\t_\tNo_rel\n20\tDUMMY\t_\t0\tCompNo\t_\troot""}"
प्रवृत्तान् प्राक् अतः दोषान् उपेक्षेत हितआशिनः विबद्धान् पाचनैः तैः तैः पाचयेत् निर्हरेत वा .,"{""tokens"": [""प्रवृत्तान्"", ""प्राक्"", ""अतः"", ""दोषान्"", ""उपेक्षेत"", ""हित"", ""आशिनः"", ""वि"", ""बद्धान्"", ""पाचनैः"", ""तैः"", ""तैः"", ""पाचयेत्"", ""निर्हरेत"", ""वा"", "".""], ""compounds"": ""1\tप्रवृत्तान्\tप्रवृत्तान्\t17\tCompNo\t_\tNo_rel\n2\tप्राक्\tप्राक्\t17\tCompNo\t_\tNo_rel\n3\tअतः\tअतः\t17\tCompNo\t_\tNo_rel\n4\tदोषान्\tदोषान्\t17\tCompNo\t_\tNo_rel\n5\tउपेक्षेत\tउपेक्षेत\t17\tCompNo\t_\tNo_rel\n6\tहित-\tहित-आशिनः\t7\tComp2\t_\tउपपद-तत्पुरुषः\n7\tआशिनः\t--\t17\tComp2\t_\tComp_root\n8\tवि-\tवि-बद्धान्\t9\tComp2\t_\tप्रादि-तत्पुरुषः\n9\tबद्धान्\t--\t17\tComp2\t_\tComp_root\n10\tपाचनैः\tपाचनैः\t17\tCompNo\t_\tNo_rel\n11\tतैः\tतैः\t17\tCompNo\t_\tNo_rel\n12\tतैः\tतैः\t17\tCompNo\t_\tNo_rel\n13\tपाचयेत्\tपाचयेत्\t17\tCompNo\t_\tNo_rel\n14\tनिर्हरेत\tनिर्हरेत\t17\tCompNo\t_\tNo_rel\n15\tवा\tवा\t17\tCompNo\t_\tNo_rel\n16\t.\t.\t17\tCompNo\t_\tNo_rel\n17\tDUMMY\t_\t0\tCompNo\t_\troot""}"
श्रावणे कार्त्तिके चैत्रे मासि साधारणे क्रमात् ग्रीष्मवर्षाहिमचितान् वायुआदीन् आशु निर्हरेत् .,"{""tokens"": [""श्रावणे"", ""कार्त्तिके"", ""चैत्रे"", ""मासि"", ""साधारणे"", ""क्रमात्"", ""ग्रीष्म"", ""वर्षा"", ""हिम"", ""चितान्"", ""वायु"", ""आदीन्"", ""आशु"", ""निर्हरेत्"", "".""], ""compounds"": ""1\tश्रावणे\tश्रावणे\t16\tCompNo\t_\tNo_rel\n2\tकार्त्तिके\tकार्त्तिके\t16\tCompNo\t_\tNo_rel\n3\tचैत्रे\tचैत्रे\t16\tCompNo\t_\tNo_rel\n4\tमासि\tमासि\t16\tCompNo\t_\tNo_rel\n5\tसाधारणे\tसाधारणे\t16\tCompNo\t_\tNo_rel\n6\tक्रमात्\tक्रमात्\t16\tCompNo\t_\tNo_rel\n7\tग्रीष्म-\tग्रीष्म-वर्षा-हिम-चितान्\t8\tComp4\t_\tइतरेतर-द्वन्द्वः\n8\tवर्षा-\t--\t9\tComp4\t_\tइतरेतर-द्वन्द्वः\n9\tहिम-\t--\t10\tComp4\t_\tसप्तमी-तत्पुरुषः\n10\tचितान्\t--\t16\tComp4\t_\tComp_root\n11\tवायु-\tवायु-आदीन्\t12\tComp2\t_\tषष्ठ्यर्थ-बहुव्रीहिः\n12\tआदीन्\t--\t16\tComp2\t_\tComp_root\n13\tआशु\tआशु\t16\tCompNo\t_\tNo_rel\n14\tनिर्हरेत्\tनिर्हरेत्\t16\tCompNo\t_\tNo_rel\n15\t.\t.\t16\tCompNo\t_\tNo_rel\n16\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अतिउष्णवर्षशीताः हि ग्रीष्मवर्षाहिमआगमाः (भवन्ति) सन्धौ साधारणे तेषाम् दुष्टान् दोषान् शोधयेत् (मासि) .,"{""tokens"": [""अति"", ""उष्ण"", ""वर्ष"", ""शीताः"", ""हि"", ""ग्रीष्म"", ""वर्षा"", ""हिम"", ""आगमाः"", ""(भवन्ति)"", ""सन्धौ"", ""साधारणे"", ""तेषाम्"", ""दुष्टान्"", ""दोषान्"", ""शोधयेत्"", ""(मासि)"", "".""], ""compounds"": ""1\tअति-\tअति-उष्ण-वर्ष-शीताः\t2\tComp4\t_\tगतिसमासः\n2\tउष्ण-\t--\t3\tComp4\t_\tइतरेतर-द्वन्द्वः\n3\tवर्ष-\t--\t4\tComp4\t_\tइतरेतर-द्वन्द्वः\n4\tशीताः\t--\t19\tComp4\t_\tComp_root\n5\tहि\tहि\t19\tCompNo\t_\tNo_rel\n6\tग्रीष्म-\tग्रीष्म-वर्षा-हिम-आगमाः\t7\tComp4\t_\tइतरेतर-द्वन्द्वः\n7\tवर्षा-\t--\t8\tComp4\t_\tइतरेतर-द्वन्द्वः\n8\tहिम-\t--\t9\tComp4\t_\tषष्ठी-तत्पुरुषः\n9\tआगमाः\t--\t19\tComp4\t_\tComp_root\n10\t(भवन्ति)\tभवन्ति\t19\tCompNo\t_\tNo_rel\n11\tसन्धौ\tसन्धौ\t19\tCompNo\t_\tNo_rel\n12\tसाधारणे\tसाधारणे\t19\tCompNo\t_\tNo_rel\n13\tतेषाम्\tतेषाम्\t19\tCompNo\t_\tNo_rel\n14\tदुष्टान्\tदुष्टान्\t19\tCompNo\t_\tNo_rel\n15\tदोषान्\tदोषान्\t19\tCompNo\t_\tNo_rel\n16\tशोधयेत्\tशोधयेत्\t19\tCompNo\t_\tNo_rel\n17\t(मासि)\tमासि\t19\tCompNo\t_\tNo_rel\n18\t.\t.\t19\tCompNo\t_\tNo_rel\n19\tDUMMY\t_\t0\tCompNo\t_\troot""}"
